a:[0.057, 0.167, 0.124, 0.064, 0.037]
b:[0.078, 0.004, 0.02, 0.015, 0.004]
c:[0.081, 0.012, 0.028, 0.056, 0.011]
d:[0.051, 0.01, 0.03, 0.045, 0.064]
e:[0.029, 0.117, 0.077, 0.182, 0.145]
f:[0.057, 0.002, 0.006, 0.009, 0.007]
g:[0.034, 0.004, 0.03, 0.025, 0.012]
h:[0.031, 0.062, 0.004, 0.014, 0.046]
i:[0.016, 0.108, 0.096, 0.071, 0.007]
j:[0.017, 0.0, 0.002, 0.0, 0.0]
k:[0.017, 0.003, 0.014, 0.03, 0.029]
l:[0.052, 0.07, 0.07, 0.067, 0.046]
m:[0.055, 0.012, 0.028, 0.027, 0.013]
n:[0.02, 0.025, 0.084, 0.079, 0.059]
o:[0.017, 0.155, 0.091, 0.049, 0.027]
p:[0.057, 0.022, 0.019, 0.02, 0.007]
q:[0.007, 0.001, 0.0, 0.001, 0.0]
r:[0.043, 0.097, 0.085, 0.066, 0.067]
s:[0.127, 0.012, 0.035, 0.051, 0.245]
t:[0.075, 0.025, 0.051, 0.071, 0.079]
u:[0.011, 0.059, 0.048, 0.024, 0.001]
v:[0.017, 0.004, 0.027, 0.014, 0.0]
w:[0.04, 0.01, 0.007, 0.009, 0.004]
x:[0.002, 0.004, 0.01, 0.001, 0.007]
y:[0.008, 0.01, 0.011, 0.006, 0.082]
z:[0.001, 0.001, 0.004, 0.004, 0.001]
